#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Bettles,Yukon-Koyukuk/Upper Tanana,9,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,2489.1518226434,16702.9842220533,9,812.4706294106,5887.4683290624,0.352480027
Big Delta,Railbelt,206,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,55414.9787946021,371016.078221754,206,12754.1768777571,92421.5715779498,0.2491039526
Birch Creek,Yukon-Koyukuk/Upper Tanana,17,0,0,0,0,1,1121.8146232877,0.2465402206,1,1155,0.3264046098,0.1020865801,117.91,4543.0687958104,30400.3535928291,16,1444.3922300633,10466.6103627775,0.3442923889
Brevig Mission,Bering Straits,93,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,17450.5675102679,112665.126886,93,5691.1136996749,41239.9543454701,0.3660401003
Buckland,Northwest Arctic,98,0,0,0,0,37,1021.1621621622,0.1959755278,11,999.2727272727,0.0915825145,0.127345029,1399.7765587485,18810.4596144845,121778.113148439,87,1594.5141338351,11554.450245182,0.0948811732
Cantwell,Railbelt,104,0,0,0,0,16,1170.703125,0.1701188629,7,1359.5714285714,0.2301575703,0.134266465,1277.8139475059,20596.2063313136,133828.741531258,97,4446.2742532169,32219.3786464991,0.2407508154
Central,Yukon-Koyukuk/Upper Tanana,53,0,0,0,0,6,1121.8146232877,0.2465402206,5,1205.8,0.3264046098,0.1818587085,1096.4261533778,14371.902540809,96286.3952232536,48,4333.1766901899,31399.8310883325,0.3261086991
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,24,0,0,0,0,18,671.3888888889,0.5397700062,18,671.3888888889,0.5361701372,0.2077199685,2510.2958189207,4684.669327422,30388.6183146525,6,1165.8341424026,8448.0734956707,0.2780012374
Chase,Railbelt,18,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,4842.0855257419,32418.8806213183,18,1114.442639804,8075.6713029277,0.2491039526
Chefornak,Lower Yukon-Kuskokwim,92,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,16035.26704505,102557.587282971,92,5350.9416796125,38774.9397073366,0.3780796793
Chenega Bay,Copper River/Chugach,31,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,8826.7228990769,59365.6731817164,31,2647.4594832474,19184.4890090388,0.323157946
Chevak,Lower Yukon-Kuskokwim,209,0,0,0,0,2,1045.957275886,0.1666381457,2,380,0.3336983204,0.5482895833,416.7000833333,36496.0509346958,233477.61546881,207,12039.618779128,87243.6143415074,0.3736701446
