#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Seward,Railbelt,928,130,2003.8563846154,0.0734560081,19135.387805056,243,1861.0451440329,0.1308350703,121,1853.1343801653,0.2767783691,0.0960570574,21538.802908941,205516.901906022,1351666.82540596,677,45624.896766529,330615.193960355,0.2445981419
Shageluk,Yukon-Koyukuk/Upper Tanana,36,6,1073.3333333333,0.0672519327,433.1024463841,5,1121.8146232877,0.2465402206,1,713,0.3264046098,0.088513324,63.11,8516.8127637905,56378.643215873,29,2617.9609169897,18970.7312825342,0.3364879004
Shaktoolik,Bering Straits,64,2,1232,0.0635394484,156.5612008282,7,1243.088742515,0.1509469955,7,892,0.3261277145,0.1009883939,630.5715318073,11107.3608301058,70999.4263051144,55,3365.7124030335,24389.2203118372,0.3435129209
Shishmaref,Bering Straits,141,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,26457.3120316965,170814.869794903,141,8628.4627059587,62525.0920721643,0.3660401003
Shungnak,Northwest Arctic,62,0,0,0,0,56,959.5367857143,0.4011178981,1,1064,0.3314395025,0.1214473684,129.22,23607.3500944765,161875.580394758,61,7781.5797592573,56388.2591250526,0.3483432089
Silver Springs,Copper River/Chugach,44,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,12528.2518567543,84260.9554837265,44,3757.684427835,27229.5973031519,0.323157946
Sitka,Southeast,3545,84,1657.1854761905,0.0589717386,8209.0771351677,731,1640.6899039781,0.115783853,441,1513.4153287982,0.2450474908,0.0849364378,56687.9511563089,638592.532164781,4101897.3345274,3020,140582.643727643,1018714.8096206,0.2483520982
Skagway,Southeast,436,23,1754.9130434783,0.0681363283,2750.1866204196,43,1711.7903707981,0.1462055926,13,1517.5084615385,0.0473231916,0.121746311,2401.7637417955,105261.280623823,698121.163940745,400,4737.4930196436,34329.6595626345,0.0491743573
Skwentna,Railbelt,20,0,0,0,0,1,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,5380.0950286022,36020.9784681315,20,1238.2695997822,8972.9681143641,0.2491039526
Slana,Copper River/Chugach,77,0,0,0,0,9,1845.1516180905,0.1543141463,3,1283.3333333333,0.2999368524,0.14290814,550.1963388802,21620.4380979669,145253.754333093,74,6319.7419922679,45795.2318280282,0.3152774401
Sleetmute,Lower Yukon-Kuskokwim,36,0,0,0,0,17,804,0.3720017489,5,909.6,0.3336983204,0.1839318931,836.5222500122,10108.2938391146,67911.1147761929,31,3093.9746061348,22420.1058415564,0.3301389753
South Naknek,Bristol Bay,35,4,1290.25,0.0977017116,504.2385336272,20,1104.5635,0.1665150764,20,1104.5635,0.2530364244,0.1214915487,2683.9026055245,5211.3323709291,32574.1476154278,11,511.9410751962,3709.7179362044,0.1138853418
Stebbins,Bering Straits,134,2,2224.5,0.0703371544,312.93,16,1243.088742515,0.3274387932,16,562.0625,0.6007072699,0.1324111922,1190.773851621,48719.8192666634,333175.212077271,116,28363.063785744,205529.447722783,0.6168809691
Stevens Village,Yukon-Koyukuk/Upper Tanana,26,0,0,0,0,1,1121.8146232877,0.2465402206,1,400,0.3264046098,0.254425,101.77,7016.0806184538,46986.3812931433,25,2256.8628594739,16354.0786918398,0.3480599749
Stony River,Lower Yukon-Kuskokwim,20,0,0,0,0,2,1045.957275886,0.1666381457,2,963.5,0.3336983204,0.1655424243,319.0002516318,3456.3351082721,22080.6891903772,18,1046.9233720981,7586.4012470876,0.3435762888
Sutton,Railbelt,0,19,2021.3157894737,0.072886239,2799.1960086356,28,#DIV/0!,0.1962429889,21,1371.2261904762,0.1926840797,0.1421014161,4091.9168539429,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Takotna,Yukon-Koyukuk/Upper Tanana,22,1,1344,0.0730580357,98.19,16,986.8125,0.2550125754,7,704.5714285714,0.3264046098,0.1837718191,906.3626119,4527.6469700806,29547.2968846417,14,1149.9542392815,8333.0017339236,0.2820224729
Talkeetna,Railbelt,449,38,1682.1963157895,0.0926721549,5923.9247843303,25,1747.5136673929,0.2753183417,21,976.8214285714,0.2474769584,0.1905164385,3908.1113320535,197469.836452093,1364371.71342096,390,46436.0321156412,336492.986345226,0.2466285273
Tanacross,Yukon-Koyukuk/Upper Tanana,53,20,1259.7,0.1130142738,2847.2816151051,23,1101.6956521739,0.3930617825,20,1097.75,0.4606734962,0.1767758975,3881.1148303797,12357.8443838165,81691.7708972213,13,2593.3374634151,18792.3004595294,0.2300390878
Tanaina,Railbelt,2713,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,729809.890629881,4886245.72920204,2713,167971.271210461,1217183.12471348,0.2491039526
Tanana,Yukon-Koyukuk/Upper Tanana,100,4,1767,0.2158675375,1525.7517549971,54,808.6666666667,0.2701446176,53,814.8679245283,0.3652703104,0.1332542484,5754.9844807947,16674.3849763171,106002.789683458,43,3431.2209910204,24863.9202247854,0.2345591121
Tatitlek,Copper River/Chugach,36,5,1579.4,0.1181799694,933.2672181014,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,9759.9901171782,65387.1747621611,31,2647.4594832474,19184.4890090388,0.2933983473
Tazlina,Copper River/Chugach,111,0,0,0,0,13,1845.1516180905,0.187311704,10,1332.865,0.1972446803,0.1432069665,1908.7555333808,36816.2234061069,250327.271058746,101,6885.3123418286,49893.5676944103,0.1993133528
Telida,Yukon-Koyukuk/Upper Tanana,0,0,0,0,0,2,#DIV/0!,0.2465402206,2,597.625,0.3264046098,0.114971715,137.4199423559,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Teller,Bering Straits,72,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,13510.1167821429,87224.6143633545,72,4406.0235094257,31927.7065900414,0.3660401003
Tenakee Springs,Southeast,72,0,0,0,0,8,1711.7903707981,0.1227746387,1,1170,0.2806617236,0.1053856034,123.3011559542,15044.976706851,98346.7877308042,71,4187.9431794977,30347.4143441865,0.3085755523
Tetlin,Yukon-Koyukuk/Upper Tanana,43,2,768,0.0675976563,103.83,9,817.4166666667,0.2465402206,8,789.09375,0.3264046098,0.1841826246,1162.6988632852,7916.889679889,50993.5484049926,33,2170.7084273934,15729.7712129959,0.308465908
Thorne Bay,Southeast,214,9,2196.1111111111,0.0498240334,984.7720200705,15,1711.7903707981,0.1772551574,12,1251.1666666667,0.4453096123,0.0960477016,1442.0601920476,60987.6008304824,410211.310365814,193,26077.6731697026,188968.646157265,0.460661716
Togiak,Bristol Bay,231,8,1615.25,0.1039165393,1342.809521377,96,931.0898958333,0.1273226819,62,996.9516129032,0.1598684552,0.1063199369,6571.7416190604,27000.9180173892,161410.5653434,161,3051.3079875232,22110.9274458201,0.1369856267
Tok,Yukon-Koyukuk/Upper Tanana,532,8,1776.75,0.0966802928,1374.2136821346,102,1567.5615686275,0.2475404397,64,1372.97890625,0.2630222786,0.1661697381,14601.4428939952,194471.70136758,1330340.44469261,460,46948.4364253405,340206.061053192,0.2557285711
Toksook Bay,Lower Yukon-Kuskokwim,125,5,989.4,0.0857919652,424.4128519654,5,1045.957275886,0.1666381457,2,740,0.3336983204,0.0995223485,147.2930757576,21138.6788768088,134646.223744991,118,6863.1643281986,49733.0748420187,0.3693610816
Tolsona,Copper River/Chugach,18,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,5125.1939413995,34470.3908797063,18,1537.2345386598,11139.3807149258,0.323157946
Tonsina,Copper River/Chugach,39,0,0,0,0,2,1845.1516180905,0.1543141463,1,638.5,0.2999368524,0.5534690681,353.39,11173.2438762878,75183.3614223752,38,3245.2729149484,23516.4703981766,0.3127882281
Trapper Creek,Railbelt,225,3,1726.8333333333,0.1397631349,724.0429202346,17,1747.5136673929,0.3812161818,15,1046,0.3476825538,0.1803294435,2829.3689689173,141452.772903787,991661.397853529,207,47945.2020053053,347429.000038444,0.3503504329
Tuluksak,Lower Yukon-Kuskokwim,92,0,0,0,0,9,1045.957275886,0.1666381457,6,1003,0.3336983204,0.1458558007,877.7602088936,15867.2489683968,101340.064988383,86,5001.9672222464,36246.1392916408,0.3576684039
Tuntutuliak,Lower Yukon-Kuskokwim,96,4,884,0.0757437783,267.83,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,16303.09704505,103905.340906159,92,5350.9416796125,38774.9397073366,0.373175617
Tununak,Lower Yukon-Kuskokwim,84,0,0,0,0,48,761.9583333333,0.1933562534,47,757.7446808511,0.5459212012,0.0785207219,2796.4369898333,8247.6251083637,47311.4862924902,37,2975.9191656272,21564.6316349795,0.4558011875
Twin Hills,Bristol Bay,29,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4962.8432510112,31663.0670363131,29,1158.7378438056,8396.6510420697,0.2651875459
Two Rivers,Railbelt,296,5,1686.2,0.0961929626,811.0028679532,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,79091.3855341144,529240.764739959,291,18016.8226768316,130556.686063997,0.2466867535
Tyonek,Railbelt,70,1,2275,0.0582241758,132.46,34,1089.3007692308,0.1466700033,24,1104.85125,0.1713383017,0.1120250748,2970.5050540469,10292.5136895526,64205.1716634245,45,1231.845053235,8926.413429239,0.139029508
Ugashik,Bristol Bay,7,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,1197.9276812786,7642.8092846273,7,279.6953416083,2026.777837741,0.2651875459
Unalakleet,Bering Straits,225,1,1662,0.0835980746,138.94,12,1243.088742515,0.153634,1,400,0.3261277145,0.261575,104.63,42832.2651824424,277020.03755393,223,13889.3538253962,100647.491488379,0.3633220628
Unalaska,Aleutians,927,13,1656.6923076923,0.0855050208,1841.5216323716,66,1280.005261708,0.1170111168,27,1309.3333333333,0.3307468382,0.0720518721,2547.1777816221,137238.987063699,857047.587418109,887,43939.812595695,318404.439099239,0.3715131386
Upper Kalskag,Lower Yukon-Kuskokwim,60,0,0,0,0,44,1048.8636363636,0.1884335018,41,1049.8780487805,0.2204233953,0.1366598286,5882.5223241483,9637.7022352667,60942.7698207729,19,827.7295059513,5998.0398981981,0.0984208613
Valdez,Copper River/Chugach,1573,114,1859.0087719298,0.0744796371,15784.2460514273,337,1950.5563204748,0.145259365,166,1803.1689156627,0.2772572283,0.1069837767,32023.0302127872,414161.464486327,2767955.68468353,1293,101574.346808379,736045.991365062,0.2659168264
Venetie,Yukon-Koyukuk/Upper Tanana,61,1,3240,0.0574475309,186.13,42,786.619047619,0.4084457976,35,813.8285714286,0.5406780658,0.1486423986,4233.9300807282,12452.3411881413,81190.4433923284,25,4342.8782130978,31470.1319789698,0.3876088203
Wainwright,North Slope,147,4,1196,0.0921404682,440.8,30,1022.2283333333,0.1851905677,19,967.02,0.1676750803,0.1625048388,2985.7631549885,26900.6367763241,173137.802726987,124,3936.0171797175,28521.8636211411,0.1647350444
Wales,Bering Straits,43,4,1168,0.0594210681,277.6152300469,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,7595.5951537077,48665.3272007804,39,2386.5960676056,17294.1744029391,0.3553695289
Ward Cove,Southeast,0,1,936,0.0489850427,45.85,19,#DIV/0!,0.1926993741,12,1414.3333333333,0.4160627339,0.1102406816,1871.0048473822,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Whale Pass,Southeast,20,0,0,0,0,2,1711.7903707981,0.1227746387,1,1536,0.2806617236,0.0538020833,82.64,4075.7644431977,26569.3075594038,19,1120.7171888797,8121.1390498527,0.3056586639
White Mountain,Bering Straits,65,5,1171.8,0.0740666064,433.9562471545,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,11692.3868989402,75090.4847749293,60,3671.6862578548,26606.4221583678,0.3543248154
Willow,Railbelt,893,0,0,0,0,82,1747.5136673929,0.2344142648,70,1224.0992857143,0.3015513661,0.13421632,11500.5871048709,348636.061407278,2393951.31454549,823,101663.662836864,736693.208962785,0.3077310739
Wiseman,Yukon-Koyukuk/Upper Tanana,5,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1382.8621236908,9279.4356789185,5,451.3725718948,3270.815738368,0.352480027
Womens Bay,Kodiak,283,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,54530.476645685,353190.555403514,283,14100.7084506961,102179.046744174,0.2893028853
Wrangell,Southeast,1053,25,1957.36,0.0794765698,3889.1064670648,254,1862.6019685039,0.1498570395,166,1790.034939759,0.3270492039,0.0991058782,29448.8954479867,273942.904319903,1828974.81391234,862,78689.6417924669,570214.795597586,0.31176744
Yakutat,Southeast,270,3,833.3333333333,0.0893440611,223.3601527187,38,1711.7903707981,0.1293073895,28,1330.9807142857,0.2439490329,0.0972407442,3623.9155438403,56749.2431699687,371195.964999773,239,12905.3838042444,93517.2739438001,0.2519350498
