Community Fuel Oil Price Projections for Electric Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CO2-equivalent allowance cost,$2015 per gallon diesel fuel,0.4731808371,0.4873762622,0.5019975501,0.5170574766,0.5325692009,0.5485462769,0.5650026652,0.5819527452,0.5994113275,0.6173936674,0.6359154774,0.6549929417,0.67464273,0.6948820119,0.7157284722,0.7372003264,0.7593163362,0.7820958262,0.805558701,0.8297254621,0.8546172259,0.8802557427,0.906663415,0.9338633174,0.961879217,0.9907355935,1.0204576613,1.0510713911,1.0826035328,1.1150816388,1.148534088,1.1829901106,1.218479814,1.2550342084,1.2926852346,1.3314657917,1.3714097654,1.4125520584,1.4549286201,1.4985764787,1.5435337731,1.5898397863,1.6375349799,1.6866610293,1.7372608601,1.789378686,1.8430600465,1.8983518479,1.9553024034,2.0139614755,2.0743803197,2.1366117293,2.2007100812,2.2667313836,2.3347333251,2.4047753249,2.4769185846,2.5512261422,2.6277629265,2.7065958142,2.7877936887,2.7877936887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"Rural (0)
Urban (1)",Utility,Community Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076
80,0,Akiachak Native Community Electric Co.,Akiachak,3.3037009394,3.800303272,3.9711987582,3.9830996722,4.040628649,4.0983438642,4.1765559093,4.2601810248,4.3465430879,4.4344742486,4.5225549176,4.6161248322,4.7116946133,4.80930908,4.9090137692,5.0108550755,5.1148811042,5.2211404609,5.3295360813,5.4357878419,5.5472491995,5.6614573232,5.7731855766,5.8929419751,6.0217114509,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784,6.1414911784
81,0,"Akiak, City of",Akiak,3.1086393525,3.5719972447,3.7321232991,3.7442419124,3.7988753252,3.8537142112,3.927670446,4.0067007388,4.0883144087,4.171425138,4.2547122493,4.3431486143,4.4334864684,4.5257687256,4.6200390032,4.7163417539,4.8147230609,4.9152295119,5.0177721033,5.1183670837,5.223862611,5.3319670763,5.4378155735,5.5511935623,5.6730197373,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601,5.786533601
82,0,Akutan Electric Utility,Akutan,3.0649731172,3.6176682966,3.810238935,3.8216855827,3.8853102161,3.9491945926,4.0367406581,4.130716049,4.2280675734,4.3274553397,4.4272245204,4.5336342359,4.6426277237,4.754268827,4.868622594,4.9857554477,5.1057362117,5.22863468,5.3543453106,5.4776963041,5.6075738553,5.7410243535,5.8716667846,6.0123544156,6.1643900734,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097,6.305590097
1,0,Alaska Village Electric Cooperative,Alakanuk,2.8652756589,3.2871569592,3.4338468024,3.4462370226,3.4972578577,3.5485081637,3.6171547438,3.6904524212,3.7661418775,3.8432385165,3.9205450659,4.0025766864,4.0863870583,4.172016718,4.2595068884,4.3488995993,4.4402384108,4.5335673934,4.6288076001,4.7223450405,4.8203974496,4.9208868385,5.0193996055,5.1248197314,5.2379832715,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876,5.3436796876
85,0,Alaska Power Company,"Allakaket, Alatna",4.4379111618,4.9405526612,5.1093128472,5.1212751705,5.177927228,5.2346438464,5.3111492584,5.3926308887,5.4764569447,5.561487686,5.6463659153,5.7361625191,5.8275294103,5.920498117,6.0151005752,6.1113692617,6.2093379807,6.3090407323,6.4103780294,6.509445254,6.6129520334,6.7186299284,6.8217746318,6.9318224455,7.0495648322,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982,7.1589925982
2,0,Alaska Village Electric Cooperative,Ambler,5.5841678502,6.2280256579,6.4413494658,6.4524162305,6.5209625098,6.589457476,6.6833238658,6.7834624324,6.8864762148,6.9908915478,7.0949543075,7.2051967626,7.3172980298,7.4312937882,7.5472200941,7.6651135475,7.7850123017,7.9069545995,8.030806436,8.1515283888,8.277763823,8.4065821754,8.5319125832,8.6659128387,8.8095963557,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906,8.9423183906
3,0,North Slope Borough,Anaktuvuk Pass,2.5596808371,2.5738762622,2.5884975501,2.6035574766,2.6190692009,2.6350462769,2.6515026652,2.6684527452,2.6859113275,2.7038936674,2.7224154774,2.7414929417,2.76114273,2.7813820119,2.8022284722,2.8237003264,2.8458163362,2.8685958262,2.892058701,2.9162254621,2.9411172259,2.9667557427,2.993163415,3.0203633174,3.048379217,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935,3.0772355935
