,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Bethel,Lower Yukon-Kuskokwim,1896,344,1461.2494460641,0.1046968011,52627.9210463841,344,1461.2494460641,0.1046968011,54,1317.6264814815,0.1864322937,0.1043454483,7424.3695976689,289228.528223947,1814756.29147787,1498,42725.851642587,309607.620598456,0.1706056191
Bettles,Yukon-Koyukuk/Upper Tanana,9,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,2489.1518226434,16702.9842220533,9,812.4706294106,5887.4683290624,0.352480027
Big Delta,Railbelt,206,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,55414.9787946021,371016.078221754,206,12754.1768777571,92421.5715779498,0.2491039526
Birch Creek,Yukon-Koyukuk/Upper Tanana,17,1,1155,0.3049090909,352.17,1,1121.8146232877,0.2465402206,1,1155,0.3264046098,0.1020865801,117.91,4618.6663710723,30948.1621092193,15,1354.1177156843,9812.4472151039,0.3170607411
Brevig Mission,Bering Straits,93,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,17450.5675102679,112665.126886,93,5691.1136996749,41239.9543454701,0.3660401003
Buckland,Northwest Arctic,98,37,1021.1621621622,0.1959755278,7404.5433685314,37,1021.1621621622,0.1959755278,11,999.2727272727,0.0915825145,0.127345029,1399.7765587485,18810.4596144845,121778.113148439,50,916.3874332386,6640.4886466563,0.0545294099
Cantwell,Railbelt,104,16,1170.703125,0.1701188629,3186.5389499064,16,1170.703125,0.1701188629,7,1359.5714285714,0.2301575703,0.134266465,1277.8139475059,20596.2063313136,133828.741531258,81,3712.8681908306,26904.8419625405,0.2010393407
Central,Yukon-Koyukuk/Upper Tanana,53,6,1162,0.2193602665,1529.3797780772,6,1121.8146232877,0.2465402206,5,1205.8,0.3264046098,0.1818587085,1096.4261533778,14241.8477704572,95343.9693511395,42,3791.5296039162,27474.8522022909,0.2881656007
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,24,18,671.3888888889,0.5397700062,6523.1205255041,18,671.3888888889,0.5397700062,18,671.3888888889,0.5361701372,0.2077199685,2510.2958189207,4684.669327422,30388.6183146525,0,0,0,0
Chase,Railbelt,18,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,4842.0855257419,32418.8806213183,18,1114.442639804,8075.6713029277,0.2491039526
Chefornak,Lower Yukon-Kuskokwim,92,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,16035.26704505,102557.587282971,92,5350.9416796125,38774.9397073366,0.3780796793
Chenega Bay,Copper River/Chugach,31,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,8826.7228990769,59365.6731817164,31,2647.4594832474,19184.4890090388,0.323157946
Chevak,Lower Yukon-Kuskokwim,209,2,380,0.1051395833,79.9060833333,2,1045.957275886,0.1666381457,2,380,0.3336983204,0.5482895833,416.7000833333,36227.3642561802,231530.610552031,205,11923.293960006,86400.6808696088,0.3731717403
Chickaloon,Railbelt,123,2,3149,0.3087400472,1944.4448173735,2,1747.5136673929,0.1539357067,2,3149,0.2301575703,0.115576675,727.9018994161,34683.9121369724,233096.609688205,119,7367.7041187043,53389.1602804662,0.2290430579
Chicken,Yukon-Koyukuk/Upper Tanana,5,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1382.8621236908,9279.4356789185,5,451.3725718948,3270.815738368,0.352480027
Chignik,Bristol Bay,41,5,1540.4,0.0653115333,503.0294295242,5,1253.7457405615,0.1364969949,1,2200,0.2334826601,0.0830454545,182.7,6675.367835917,42293.5350428771,35,1398.4767080413,10133.8891887048,0.2396084692
Chignik Lagoon,Bristol Bay,29,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4962.8432510112,31663.0670363131,29,1158.7378438056,8396.6510420697,0.2651875459
Chignik Lake,Bristol Bay,27,3,1771,0.0673626568,357.8977953876,3,1253.7457405615,0.1364969949,1,2864,0.2334826601,0.025974162,74.39,4368.3358910172,27651.564427661,23,918.99897957,6659.4128954346,0.2408331331
Chiniak,Kodiak,20,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,3853.7439325573,24960.4632794003,20,996.5164982824,7221.1340455247,0.2893028853
Chistochina,Copper River/Chugach,36,16,1443.59875,0.1660213195,3834.6907078201,16,1443.59875,0.1660213195,8,1350.0725,0.2999368524,0.1175001644,1269.0699260428,7979.7786647279,52487.0917733903,12,862.6237955879,6250.8970694773,0.1190939878
Chitina,Copper River/Chugach,52,2,1097,0.1322360418,290.1258757484,2,1845.1516180905,0.1543141463,1,530,0.2999368524,0.1487713106,78.8487946429,14320.8915108676,96065.0109483157,49,4184.6940219071,30323.8697239646,0.3156598789
Chuathbaluk,Lower Yukon-Kuskokwim,36,1,320,0.1810625,57.94,1,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,6158.313332356,39288.0676257679,35,2035.6843346352,14751.3357582259,0.375466055
Circle,Yukon-Koyukuk/Upper Tanana,40,8,998.25,0.2313923135,1847.8990159239,8,1121.8146232877,0.2465402206,4,819.5,0.3264046098,0.1204194766,394.7350444152,9986.6619530073,66436.6808188936,28,2527.6864026108,18316.5681348606,0.2756996272
Clark's Point,Bristol Bay,24,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4107.1806215265,26203.9175472936,24,958.9554569426,6948.9525865404,0.2651875459
Clear,Railbelt,0,3,2135.3333333333,0.1239480995,794.0115252876,3,1747.5136673929,0.1539357067,1,2808,0.2301575703,0.0856054131,240.38,-41.6274804328,-301.6484089334,0,0,0,0
Coffman Cove,Southeast,89,8,1695.84375,0.0862147269,1169.6536466107,8,1711.7903707981,0.1227746387,4,1648,0.2806617236,0.0786173714,518.2457121949,17870.5615759753,116301.60562301,77,4541.8538707229,32911.9845704557,0.2829882218
Cold Bay,Aleutians,46,0,0,0,0,0,1280.005261708,0.1203594636,0,0,0.3206591027,0,0,7086.7943458773,44533.5822165024,46,2272.4451159652,16466.9935939507,0.3697657537
Coldfoot,Yukon-Koyukuk/Upper Tanana,6,3,2538.6666666667,0.1228136384,935.3486697295,3,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1765.065943944,11900.7677097391,3,270.8235431369,1962.4894430208,0.1649044407
Cooper Landing,Railbelt,161,15,2881.3333333333,0.0696505806,3010.2980928935,15,2881.3333333333,0.0696505806,3,2229.3333333333,0.2301575703,0.0909199152,608.0723926725,32316.5456378168,210307.866940702,143,6605.1022651716,47863.0598925475,0.2275856847
Copper Center,Copper River/Chugach,123,85,1896.8345783133,0.2167834174,34952.1939821046,85,1896.8345783133,0.2167834174,38,1823.3689473684,0.3562149108,0.1442522708,9994.9542208485,44947.1482029531,307467.885528646,0,0,0,0
